name,code,number
볼리비아노,BOB,68
가나 세디,GHS,936
중앙아프리카 프랑,XAF,950
가이아나 달러,GYD,328
감비아 달라시,GMD,270
과테말라 께찰,GTQ,320
동카리브 달러,XCD,951
유로,EUR,978
기니 프랑,GNF,324
서아프리카 프랑,XOF,952
나미비아 달러,NAD,516
호주 달러,AUD,36
나이지리아 나이라,NGN,566
남수단 파운드,SSP,728
남아공 랜드,ZAR,710
네팔 루피,NPR,524
노르웨이 크로네,NOK,578
뉴질랜드 달러,NZD,554
니카라과 코르도바,NIO,558
덴마크 크로네,DKK,208
도미니카 페소,DOP,214
미국 달러,USD,840
라오스 킵,LAK,418
라이베리아 달러,LRD,430
러시아 루블,RUB,643
레바논 파운드,LBP,422
레소토 로티,LSL,426
르완다 프랑,RWF,646
리비아 디나르,LYD,434
마다가스카르 아리아리,MGA,969
말라위 크와차,MWK,454
말레이시아 링기트,MYR,458
멕시코 페소,MXN,484
모로코 디르함,MAD,504
모리셔스 루피,MUR,480
모리타니 우기니,MRU,929
모잠비크 메티칼,MZN,943
몰디브 루피야,MVR,462
몽골 투그리크,MNT,496
미얀마 차트,MMK,104
바누아투 바투,VUV,548
바레인 디나르,BHD,48
바베이도스 달러,BBD,52
바하마 달러,BSD,44
방글라데시 타카,BDT,50
베네수엘라 볼리바,VEF,937
베트남 동,VND,704
벨리즈 달러,BZD,84
컨버터블 마르크,BAM,977
보츠와나 풀라,BWP,72
부룬디 프랑,BIF,108
부탄 눌트럼,BTN,64
불가리아 레프,BGN,975
브라질 레알,BRL,986
브루나이 달러,BND,96
사우디아라비아 리얄,SAR,682
상투메프린시페 도브라,STN,930
세르비아 디나르,RSD,941
세이셸 루페,SCR,690
프랑스 프랑,XPF,953
소말리아 실링,SOS,706
솔로몬제도 달러,SBD,90
수단 파운드,SDG,938
수리남 달러,SRD,968
스리랑카 루피,LKR,144
스웨덴 크로나,SEK,752
스위스 프랑,CHF,756
체코 코루나,CZK,203
시리아 파운드,SYP,760
시에라리온 레온,SLL,694
네덜란드령 안틸레스 휠던,ANG,532
싱가포르 달러,SGD,702
아루바 플로린,AWG,533
아르메니아 드람,AMD,51
아르헨티나 페소,ARS,32
아이슬란드 크로나,ISK,352
아이티 은화,HTG,332
아제르바이잔 마나트,AZN,944
아프가니,AFN,971
알바니아 렉,ALL,8
알제리 디나르,DZD,12
앙골라 콴자,AOA,973
에리트레아 낙파,ERN,232
에티오피아 비르,ETB,230
엘살바도르 콜론,SVC,222
영국 파운드,GBP,826
예맨 리알,YER,886
리알 오마니,OMR,512
온두라스 렘피라,HNL,340
요르단 디나르,JOD,400
우간다 실링,UGX,800
우루과이 페소,UYU,858
우주베키스탄 숨,UZS,860
우크라이나 흐리브냐,UAH,980
이라크 디나르,IQD,368
이란 리알,IRR,364
이스라엘 셰켈,ILS,376
이집트 파운드,EGP,818
인도 루피,INR,356
인도네시아 루피아,IDR,360
일본 엔,JPY,392
자메이카 달러,JMD,388
잠비아 크와차,ZMW,967
조지아 라리,GEL,981
중국 위안,CNY,156
지부티 프랑,DJF,262
짐바브웨 달러,ZWL,932
칠레 페소,CLP,152
카보베르데 에스쿠도,CVE,132
카자흐스탄 텡게,KZT,398
카타르 리알,QAR,634
캐나다 달러,CAD,124
케냐 실링,KES,404
코모로 프랑,KMF,174
코스타리카 콜론,CRC,188
콜롬비아 페소,COP,170
콩고 프랑,CDF,976
쿠바 페소,CUP,192
쿠웨이트 디나르,KWD,414
크로아티아 쿠나,HRK,191
키르기스스탄 솜,KGS,417
타이완 달러,TWD,901
타지키스탄 소모니,TJS,972
탄자니아 실링,TZS,834
태국 바트,THB,764
터키 리라,TRY,949
통가 파앙가,TOP,776
투르크메니스탄 마나트,TMT,934
튀니지 디나르,TND,788
트리니다드토바고 달러,TTD,780
파나마 발보아,PAB,590
파라과이 과라니,PYG,600
파키스탄 루피,PKR,586
파푸아뉴기니 키나,PGK,598
페루 누에보솔,PEN,604
폴란드 즐로티,PLN,985
피지 달러,FJD,242
필리핀 페소,PHP,608
원,KRW,410
헝가리 포린트,HUF,348
홍콩 달러,HKD,344
루마니아 레우,RON,946
마카오 파타카,MOP,446
버뮤다 달러,BMD,60
아랍에미리트 디르함,AED,784
캄보디아 리엘,KHR,116
몰도바 레오,MDL,498
에스와티니 릴랑게,SZL,748